Stkcd,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
600180.XSHG,0,0,0,0,0,0,0,1,1,1,1,1,0,0,0,0,0
600655.XSHG,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
300733.XSHE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
600682.XSHG,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
603158.XSHG,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
603129.XSHG,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
002646.XSHE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
300107.XSHE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
300355.XSHE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
600653.XSHG,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
600338.XSHG,0,0,0,0,1,1,1,1,1,1,1,1,0,0,0,0,0
300653.XSHE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
300038.XSHE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
300206.XSHE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
300367.XSHE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
000419.XSHE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
002404.XSHE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
603595.XSHG,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
000662.XSHE,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0
600300.XSHG,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
603067.XSHG,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
300701.XSHE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
601198.XSHG,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
002798.XSHE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
300177.XSHE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
600345.XSHG,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
600221.XSHG,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
601633.XSHG,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
000578.XSHE,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0
002455.XSHE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
600478.XSHG,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
603096.XSHG,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
603737.XSHG,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
300680.XSHE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
603069.XSHG,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
300598.XSHE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
000725.XSHE,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0
603444.XSHG,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
600267.XSHG,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
603716.XSHG,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
300229.XSHE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
600879.XSHG,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
600816.XSHG,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0
600111.XSHG,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
300010.XSHE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
600283.XSHG,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
300363.XSHE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
600570.XSHG,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
002388.XSHE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
600051.XSHG,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
300592.XSHE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
601222.XSHG,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
600993.XSHG,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
002109.XSHE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
002174.XSHE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
002774.XSHE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
002278.XSHE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
600586.XSHG,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
300219.XSHE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
300195.XSHE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
600240.XSHG,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
300386.XSHE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
300730.XSHE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
002058.XSHE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
600020.XSHG,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
000838.XSHE,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0
002315.XSHE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
002489.XSHE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
600122.XSHG,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
000589.XSHE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
600281.XSHG,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0
000539.XSHE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
300731.XSHE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
600212.XSHG,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0
300461.XSHE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
300114.XSHE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
600031.XSHG,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
600094.XSHG,0,0,0,0,0,0,1,1,1,1,1,0,0,0,0,0,0
603883.XSHG,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
603519.XSHG,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
002300.XSHE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
002029.XSHE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
002672.XSHE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
603189.XSHG,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
000058.XSHE,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0
600062.XSHG,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
000656.XSHE,0,0,0,0,1,1,1,1,1,1,1,0,0,0,0,0,0
600360.XSHG,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
300210.XSHE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
002855.XSHE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
002504.XSHE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
600480.XSHG,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
300071.XSHE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
600422.XSHG,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
601211.XSHG,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
002245.XSHE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
601666.XSHG,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
600651.XSHG,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
603638.XSHG,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
300686.XSHE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
300302.XSHE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
600689.XSHG,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
000659.XSHE,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1
603766.XSHG,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
002320.XSHE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
002651.XSHE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
603806.XSHG,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
002215.XSHE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
002271.XSHE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
002038.XSHE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
600189.XSHG,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
600556.XSHG,0,0,0,0,0,0,1,1,1,1,1,1,1,1,0,1,1
300696.XSHE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
000779.XSHE,0,0,0,0,0,1,1,1,1,0,0,0,0,1,0,0,0
300163.XSHE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
600717.XSHG,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
300379.XSHE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
300489.XSHE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
000852.XSHE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
002222.XSHE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
603039.XSHG,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
600089.XSHG,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
300220.XSHE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
300356.XSHE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
300639.XSHE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
600513.XSHG,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
002603.XSHE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
300202.XSHE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
600263.XSHG,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
603066.XSHG,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
600621.XSHG,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
600804.XSHG,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
603388.XSHG,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
300096.XSHE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
300673.XSHE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
300255.XSHE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
002457.XSHE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
600186.XSHG,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
000401.XSHE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
600839.XSHG,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
002410.XSHE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
603823.XSHG,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
000151.XSHE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
300625.XSHE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
300521.XSHE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
000557.XSHE,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,0
300467.XSHE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
600090.XSHG,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0
600798.XSHG,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
300283.XSHE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
600351.XSHG,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
601636.XSHG,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
000157.XSHE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
603661.XSHG,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
002378.XSHE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
600909.XSHG,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
600463.XSHG,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
