Stkcd,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
600488.XSHG,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
002280.XSHE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
600265.XSHG,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1
600572.XSHG,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
300450.XSHE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
300432.XSHE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
000975.XSHE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
300608.XSHE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
600141.XSHG,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
600280.XSHG,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
603003.XSHG,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
001896.XSHE,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0
000518.XSHE,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0
300545.XSHE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
601111.XSHG,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
600792.XSHG,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0
002477.XSHE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
600691.XSHG,0,0,0,0,1,1,1,1,1,1,1,1,0,0,1,1,0
000767.XSHE,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0
002777.XSHE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
600668.XSHG,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
300559.XSHE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
300500.XSHE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
300679.XSHE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
600516.XSHG,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0
603558.XSHG,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
002269.XSHE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
002751.XSHE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
600139.XSHG,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0
600859.XSHG,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
603025.XSHG,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
601890.XSHG,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
600626.XSHG,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
600726.XSHG,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
002350.XSHE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
600686.XSHG,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
000778.XSHE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
300142.XSHE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
300299.XSHE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
300214.XSHE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
603979.XSHG,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
300186.XSHE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
600477.XSHG,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
000923.XSHE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
300630.XSHE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
600173.XSHG,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0
601099.XSHG,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
000655.XSHE,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
601268.XSHG,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0
000918.XSHE,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0
000958.XSHE,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0
603518.XSHG,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
603566.XSHG,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
300465.XSHE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
000596.XSHE,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0
300258.XSHE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
600227.XSHG,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
603606.XSHG,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
601001.XSHG,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
600077.XSHG,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0
603679.XSHG,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
002281.XSHE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
002358.XSHE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
300123.XSHE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
300491.XSHE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
002891.XSHE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
600840.XSHG,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
600559.XSHG,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
000301.XSHE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
000014.XSHE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
002120.XSHE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
600303.XSHG,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
300506.XSHE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
603619.XSHG,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
002909.XSHE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
000856.XSHE,0,0,0,0,1,1,0,0,1,1,1,1,0,0,0,1,1
600352.XSHG,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
000949.XSHE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
002179.XSHE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
603757.XSHG,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
002316.XSHE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
002498.XSHE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
300189.XSHE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
600271.XSHG,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
000911.XSHE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
000866.XSHE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
603686.XSHG,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
000534.XSHE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
002024.XSHE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
300172.XSHE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
600500.XSHG,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
002009.XSHE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
300419.XSHE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
000627.XSHE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
002363.XSHE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
000817.XSHE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
603305.XSHG,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
002267.XSHE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
600358.XSHG,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0
600069.XSHG,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
002669.XSHE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
000422.XSHE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
300357.XSHE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
300307.XSHE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
601002.XSHG,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
600116.XSHG,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
603113.XSHG,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
300712.XSHE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
603232.XSHG,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
300493.XSHE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
300115.XSHE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
600340.XSHG,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0
600511.XSHG,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
002199.XSHE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
002750.XSHE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
000998.XSHE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
300501.XSHE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
600470.XSHG,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
300668.XSHE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
300017.XSHE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
600615.XSHG,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0
002842.XSHE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
603266.XSHG,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
002845.XSHE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
300718.XSHE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
600790.XSHG,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
000882.XSHE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
002107.XSHE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
002687.XSHE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
601992.XSHG,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
600869.XSHG,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
002869.XSHE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
002115.XSHE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
603063.XSHG,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
002571.XSHE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
601688.XSHG,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
603527.XSHG,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
002761.XSHE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
300154.XSHE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
300420.XSHE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
300720.XSHE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
603922.XSHG,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
300116.XSHE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
600757.XSHG,0,0,0,0,0,0,1,1,1,1,1,0,0,0,0,0,0
000756.XSHE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
300200.XSHE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
000729.XSHE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
300535.XSHE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
300230.XSHE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
601872.XSHG,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
600801.XSHG,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
601866.XSHG,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
600730.XSHG,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
600333.XSHG,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
600545.XSHG,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
000666.XSHE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
002885.XSHE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
000008.XSHE,0,0,0,0,0,0,1,1,1,1,1,1,1,0,0,0,0
300352.XSHE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
300576.XSHE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
600129.XSHG,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
002867.XSHE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
300682.XSHE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
603387.XSHG,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
000423.XSHE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
601226.XSHG,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
600648.XSHG,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
300058.XSHE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
002557.XSHE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
000950.XSHE,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,1,1
000505.XSHE,0,0,0,0,1,1,1,0,1,1,1,1,1,1,0,1,1
603077.XSHG,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
603196.XSHG,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
300353.XSHE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
002770.XSHE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
600960.XSHG,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
002466.XSHE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
600305.XSHG,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
601168.XSHG,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
600387.XSHG,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
300253.XSHE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
300242.XSHE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
300263.XSHE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
300127.XSHE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
000598.XSHE,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
000615.XSHE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
000333.XSHE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
600762.XSHG,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0
600867.XSHG,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
002435.XSHE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
000708.XSHE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
000933.XSHE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
601106.XSHG,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
300401.XSHE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
600253.XSHG,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0
000917.XSHE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
000547.XSHE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
300458.XSHE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
600391.XSHG,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
300395.XSHE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
002194.XSHE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
002312.XSHE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
000875.XSHE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
002689.XSHE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
300437.XSHE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
603227.XSHG,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
600495.XSHG,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
002822.XSHE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
600780.XSHG,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
300414.XSHE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
600644.XSHG,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
600597.XSHG,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
603008.XSHG,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
600876.XSHG,0,0,0,0,1,0,0,1,1,1,1,0,0,0,0,0,0
000028.XSHE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
000868.XSHE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
600061.XSHG,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
603966.XSHG,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
002544.XSHE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
002727.XSHE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
000766.XSHE,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0
300400.XSHE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
002548.XSHE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
600723.XSHG,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
002070.XSHE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
000835.XSHE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
603165.XSHG,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
300484.XSHE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
300478.XSHE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
300008.XSHE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
002915.XSHE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
300372.XSHE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
600145.XSHG,0,0,0,0,0,0,0,0,0,1,1,1,0,1,1,1,1
002470.XSHE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
300143.XSHE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
002168.XSHE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
603289.XSHG,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
002514.XSHE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
603916.XSHG,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
000027.XSHE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
000938.XSHE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
601777.XSHG,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
300130.XSHE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
300383.XSHE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
600026.XSHG,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
600714.XSHG,0,0,0,0,0,0,1,1,1,1,1,0,0,0,0,0,0
002191.XSHE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
002021.XSHE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
300443.XSHE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
300475.XSHE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
300199.XSHE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
300447.XSHE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
603116.XSHG,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
600908.XSHG,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
002146.XSHE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
002133.XSHE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
002796.XSHE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
300049.XSHE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
603110.XSHG,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
603283.XSHG,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
002346.XSHE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
000531.XSHE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
300406.XSHE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
000777.XSHE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
002722.XSHE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
603567.XSHG,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
600234.XSHG,0,0,0,0,1,1,1,1,1,1,1,1,1,1,0,1,1
000909.XSHE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
603368.XSHG,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
002678.XSHE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
603506.XSHG,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
603421.XSHG,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
002060.XSHE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
000826.XSHE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
000019.XSHE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
300151.XSHE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
300599.XSHE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
603520.XSHG,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
000707.XSHE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
002040.XSHE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
002476.XSHE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
002151.XSHE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
600486.XSHG,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
603799.XSHG,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
000515.XSHE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
300144.XSHE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
002376.XSHE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
002674.XSHE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
600815.XSHG,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
002037.XSHE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
002480.XSHE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
300463.XSHE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
000530.XSHE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
300602.XSHE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
002926.XSHE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
601218.XSHG,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
600592.XSHG,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
002899.XSHE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
601086.XSHG,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
002738.XSHE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
300022.XSHE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
300109.XSHE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
300325.XSHE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
000159.XSHE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
600198.XSHG,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0
300600.XSHE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
002403.XSHE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
002405.XSHE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
000699.XSHE,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0
002380.XSHE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
600165.XSHG,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
002510.XSHE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
002837.XSHE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
600602.XSHG,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
000536.XSHE,0,0,0,0,1,1,1,1,1,0,0,0,0,0,0,0,0
002633.XSHE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
000818.XSHE,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0
000693.XSHE,0,0,0,0,0,1,1,1,1,1,1,1,1,0,0,1,1
300434.XSHE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
600217.XSHG,0,0,0,0,0,0,1,1,1,1,1,1,0,0,1,0,0
002609.XSHE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
000503.XSHE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
002258.XSHE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
002821.XSHE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
000851.XSHE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
300207.XSHE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
300502.XSHE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
600721.XSHG,0,0,0,0,0,1,1,1,1,1,1,0,0,0,0,1,0
600476.XSHG,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
600823.XSHG,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
000402.XSHE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
